Configuration,Rule Source,Sarif Identifier,Alerts
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/redundant-else,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/redundant-global-declaration,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/reflective-xss,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/regex-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/regex/backspace-escape,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/regex/duplicate-in-character-class,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/regex/incomplete-special-group,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/regex/unmatchable-caret,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/regex/unmatchable-dollar,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/repeated-import,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/request-without-cert-validation,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/return-or-yield-outside-function,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/samesite-none-cookie,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/shell-command-constructed-from-input,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/should-use-with,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/side-effect-in-assert,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/slots-in-old-style-class,0
